Nombre,Posición,Duración,Alineación,Evento,Jugada,Resultado
Acción de ataque (35),1684560,10000,Jugador_13 (c);Jugador_12 (pi);Jugador_7 (li);Jugador_14 (ld),Acción de ataque,Jugada_17,Gol
Acción de ataque (34),1442880,7600,Jugador_13 (c);Jugador_12 (pi),Acción de ataque,Jugada_38,Gol
Acción de ataque (73),1707360,15640,Jugador_13 (c);Jugador_7 (li);Jugador_2 (ld);Jugador_9 (pi);Jugador_10 (ed),Acción de ataque,Jugada_10,Pérdida
Acción de ataque (5),1225960,12320,Jugador_13 (c);Jugador_7 (li);Jugador_2 (ld);Jugador_9 (pi);Jugador_6 (ei),Acción de ataque,Jugada_41,Pérdida
Acción de ataque (9),1583520,13680,Jugador_13 (c);Jugador_7 (li);Jugador_2 (ld);Jugador_9 (pi);Jugador_6 (ei),Acción de ataque,Jugada_69,Nada
Acción de ataque (8),1499760,10720,Jugador_13 (c);Jugador_7 (li);Jugador_2 (ld);Jugador_9 (pi),Acción de ataque,Jugada_69,Pérdida
Acción de ataque (10),1603280,11280,Jugador_13 (c);Jugador_7 (li);Jugador_2 (ld);Jugador_9 (pi),Acción de ataque,Jugada_24,Pérdida
Acción de ataque (11),1650080,12080,Jugador_13 (c);Jugador_7 (li);Jugador_2 (ld);Jugador_9 (pi),Acción de ataque,Jugada_44,Pérdida
Acción de ataque (2),967880,7040,Jugador_13 (c);Jugador_7 (li);Jugador_2 (ld);Jugador_9 (pi),Acción de ataque,Jugada_40,Pérdida
Acción de ataque (3),1082040,13680,Jugador_13 (c);Jugador_7 (li);Jugador_2 (ld);Jugador_9 (pi),Acción de ataque,Jugada_22,Pérdida
Acción de ataque (1),950920,13760,Jugador_13 (c);Jugador_7 (li);Jugador_2 (ld);Jugador_9 (pi),Acción de ataque,Jugada_52,Nada
Acción de ataque (12),1693120,9920,Jugador_13 (c);Jugador_7 (li);Jugador_2 (ld);Jugador_9 (pi),Acción de ataque,Jugada_2,Nada
Acción de ataque (4),1213240,9360,Jugador_13 (c);Jugador_7 (li);Jugador_2 (ld);Jugador_9 (pi),Acción de ataque,Jugada_14,Nada
Acción de ataque (6),1417440,10320,Jugador_13 (c);Jugador_7 (li);Jugador_2 (ld);Jugador_9 (pi),Acción de ataque,Jugada_52,Gol
Acción de ataque (7),1456880,11040,Jugador_13 (c);Jugador_7 (li);Jugador_2 (ld);Jugador_9 (pi),Acción de ataque,Jugada_69,Gol
Acción de ataque (16),1681240,10800,Jugador_13 (c);Jugador_16 (li);Jugador_9 (pi);Jugador_2 (ld);Jugador_15 (ei),Acción de ataque,Jugada_6,Gol
Acción de ataque (14),1411240,13240,Jugador_13 (c);Jugador_16 (li);Jugador_9 (pi);Jugador_2 (ld);Jugador_15 (ei),Acción de ataque,Jugada_66,Gol
Acción de ataque (15),1584520,7400,Jugador_13 (c);Jugador_16 (li);Jugador_9 (pi);Jugador_2 (ld),Acción de ataque,Jugada_2,Pérdida
Acción de ataque (11),1550840,4000,Jugador_14 (ld);Jugador_10 (ed),Acción de ataque,Jugada_38,Pérdida
Acción de ataque (51),5222680,5560,Jugador_14 (ld);Jugador_5 (pi);Jugador_7 (li);Jugador_3 (c),Acción de ataque,Jugada_40,Nada
Acción de ataque (52),5243520,10000,Jugador_14 (ld);Jugador_5 (pi);Jugador_7 (li);Jugador_3 (c),Acción de ataque,Jugada_40,Nada
Acción de ataque (53),5256680,5200,Jugador_14 (ld);Jugador_5 (pi);Jugador_7 (li);Jugador_3 (c),Acción de ataque,Jugada_20,Gol
Acción de ataque (35),4350640,9200,Jugador_14 (ld);Jugador_9 (pi);Jugador_1 (li);Jugador_3 (c),Acción de ataque,Jugada_45,Gol
Acción de ataque (44),4855200,6480,Jugador_14 (ld);Jugador_9 (pi);Jugador_1 (c);Jugador_10 (ed);Jugador_13 (li),Acción de ataque,Jugada_41,Nada
Acción de ataque (45),4865200,12400,Jugador_14 (ld);Jugador_9 (pi);Jugador_1 (c);Jugador_10 (ed);Jugador_13 (li),Acción de ataque,Jugada_41,Nada
Acción de ataque (46),4878400,12400,Jugador_14 (ld);Jugador_9 (pi);Jugador_1 (c);Jugador_10 (ed);Jugador_15 (ei);Jugador_13 (li),Acción de ataque,Jugada_73,Nada
Acción de ataque (4),280400,9440,Jugador_14 (ld);Jugador_9 (pi);Jugador_1 (c);Jugador_7 (li),Acción de ataque,Jugada_1,Nada
Acción de ataque (66),4232280,11000,Jugador_14 (ld);Jugador_9 (pi);Jugador_3 (c);Jugador_7 (li);Jugador_10 (ed),Acción de ataque,Jugada_3,Gol
Acción de ataque (79),4331360,9000,Jugador_14 (ld);Jugador_9 (pi);Jugador_3 (c);Jugador_7 (li);Jugador_15 (ei),Acción de ataque,Jugada_19,Gol
Acción de ataque (36),4576880,13880,Jugador_14 (ld);Jugador_9 (pi);Jugador_3 (c);Jugador_7 (li),Acción de ataque,Jugada_13,Pérdida
Acción de ataque (34),4486000,6800,Jugador_14 (ld);Jugador_9 (pi);Jugador_3 (c);Jugador_7 (li),Acción de ataque,Jugada_42,Pérdida
Acción de ataque (35),4560280,12320,Jugador_14 (ld);Jugador_9 (pi);Jugador_3 (c);Jugador_7 (li),Acción de ataque,Jugada_26,Nada
Acción de ataque (37),4718160,11200,Jugador_14 (ld);Jugador_9 (pi);Jugador_3 (c);Jugador_7 (li),Acción de ataque,Jugada_69,Nada
Acción de ataque (33),4444040,8000,Jugador_14 (ld);Jugador_9 (pi);Jugador_3 (c);Jugador_7 (li),Acción de ataque,Jugada_11,Gol
Acción de ataque (43),4820360,9200,Jugador_14 (ld);Jugador_9 (pi),Acción de ataque,Jugada_38,Pérdida
Acción de ataque (52),2073800,7440,Jugador_14 (ld);Jugador_9 (pi),Acción de ataque,Jugada_38,Pérdida
Acción de ataque (21),2232280,16000,Jugador_14 (ld);Jugador_12 (pi);Jugador_13 (c);Jugador_16 (li),Acción de ataque,Jugada_31,Nada
Acción de ataque (19),2097640,10040,Jugador_14 (ld);Jugador_12 (pi);Jugador_1 (c);Jugador_13 (li),Acción de ataque,Jugada_45,Nada
Acción de ataque (20),2107280,6800,Jugador_14 (ld);Jugador_12 (pi);Jugador_1 (c);Jugador_13 (li),Acción de ataque,Jugada_66,Gol
Acción de ataque (17),1789520,9600,Jugador_14 (ld);Jugador_12 (pi);Jugador_16 (li);Jugador_13 (c),Acción de ataque,Jugada_22,Nada
Acción de ataque (18),1820200,8400,Jugador_14 (ld);Jugador_12 (pi);Jugador_16 (li);Jugador_13 (c),Acción de ataque,Jugada_45,Gol
Acción de ataque (36),1110960,8520,Jugador_14 (ld);Jugador_7 (li);Jugador_9 (pi);Jugador_3 (c);Jugador_13 (ei),Acción de ataque,Jugada_69,Nada
Acción de ataque (37),1124920,10480,Jugador_14 (ld);Jugador_7 (li);Jugador_9 (pi);Jugador_3 (c);Jugador_13 (ei),Acción de ataque,Jugada_73,Nada
